0:0:0:0:0:0:0:1 - - [14/Jan/2026:19:48:38 +0900] "POST /%EC%95%BD%EA%B5%AD/backup.jsp HTTP/1.1" 200 22
0:0:0:0:0:0:0:1 - - [14/Jan/2026:19:48:38 +0900] "POST /%EC%95%BD%EA%B5%AD/backup.jsp HTTP/1.1" 200 22
0:0:0:0:0:0:0:1 - - [14/Jan/2026:19:48:38 +0900] "POST /%EC%95%BD%EA%B5%AD/backup.jsp HTTP/1.1" 200 22
0:0:0:0:0:0:0:1 - - [14/Jan/2026:19:48:38 +0900] "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 864
0:0:0:0:0:0:0:1 - - [14/Jan/2026:19:48:40 +0900] "POST /%EC%95%BD%EA%B5%AD/searchMedicine2.jsp HTTP/1.1" 200 2953
0:0:0:0:0:0:0:1 - - [14/Jan/2026:19:48:41 +0900] "GET /%EC%95%BD%EA%B5%AD/addProduct.jsp?medicineName=ohu HTTP/1.1" 200 4007
0:0:0:0:0:0:0:1 - - [14/Jan/2026:19:49:43 +0900] "GET /%EC%95%BD%EA%B5%AD/addProduct.jsp HTTP/1.1" 200 4004
0:0:0:0:0:0:0:1 - - [14/Jan/2026:19:49:43 +0900] "POST /%EC%95%BD%EA%B5%AD/backup.jsp HTTP/1.1" 200 22
0:0:0:0:0:0:0:1 - - [14/Jan/2026:19:49:43 +0900] "POST /%EC%95%BD%EA%B5%AD/backup.jsp HTTP/1.1" 200 22
0:0:0:0:0:0:0:1 - - [14/Jan/2026:19:49:47 +0900] "GET /%EC%95%BD%EA%B5%AD/addProduct.jsp HTTP/1.1" 200 4004
0:0:0:0:0:0:0:1 - - [14/Jan/2026:19:50:10 +0900] "GET /%EC%95%BD%EA%B5%AD/addProduct.jsp HTTP/1.1" 200 4004
0:0:0:0:0:0:0:1 - - [14/Jan/2026:19:50:10 +0900] "GET /%EC%95%BD%EA%B5%AD/addProduct.jsp HTTP/1.1" 200 4004
0:0:0:0:0:0:0:1 - - [14/Jan/2026:19:50:11 +0900] "GET /%EC%95%BD%EA%B5%AD/addProduct.jsp HTTP/1.1" 200 4004
0:0:0:0:0:0:0:1 - - [14/Jan/2026:19:50:11 +0900] "GET /%EC%95%BD%EA%B5%AD/addProduct.jsp HTTP/1.1" 200 4004
0:0:0:0:0:0:0:1 - - [14/Jan/2026:19:50:13 +0900] "GET /%EC%95%BD%EA%B5%AD/addProduct.jsp HTTP/1.1" 200 4004
0:0:0:0:0:0:0:1 - - [14/Jan/2026:19:50:13 +0900] "GET /%EC%95%BD%EA%B5%AD/jquery-3.7.1.min.js HTTP/1.1" 200 87533
0:0:0:0:0:0:0:1 - - [14/Jan/2026:19:50:13 +0900] "GET /favicon.ico HTTP/1.1" 404 819
0:0:0:0:0:0:0:1 - - [14/Jan/2026:19:50:13 +0900] "GET /%EC%95%BD%EA%B5%AD/addProduct.jsp HTTP/1.1" 200 4004
0:0:0:0:0:0:0:1 - - [14/Jan/2026:19:50:13 +0900] "GET /%EC%95%BD%EA%B5%AD/jquery-3.7.1.min.js HTTP/1.1" 200 87533
0:0:0:0:0:0:0:1 - - [14/Jan/2026:19:50:13 +0900] "GET /favicon.ico HTTP/1.1" 404 819
0:0:0:0:0:0:0:1 - - [14/Jan/2026:19:50:14 +0900] "GET /%EC%95%BD%EA%B5%AD/addProduct.jsp HTTP/1.1" 200 4004
0:0:0:0:0:0:0:1 - - [14/Jan/2026:19:50:14 +0900] "GET /%EC%95%BD%EA%B5%AD/jquery-3.7.1.min.js HTTP/1.1" 200 87533
0:0:0:0:0:0:0:1 - - [14/Jan/2026:19:50:14 +0900] "GET /favicon.ico HTTP/1.1" 404 819
0:0:0:0:0:0:0:1 - - [14/Jan/2026:19:50:14 +0900] "GET /%EC%95%BD%EA%B5%AD/addProduct.jsp HTTP/1.1" 200 4004
